singer_mid,singer_name
001Iu4Dv1NzRCD,摩登兄弟刘宇宁
003gHa6S2vmcbq,Martin Garrix (马丁·盖瑞斯)
004eTCF03KvBOE,Ariana Grande (爱莉安娜·格兰德)
004J3Tvx00N44V,叶里
000NFT2p1GbnPB,古巨基
0019iLuN2glWFi,孙楠
003AKgLE4SfjsK,黄龄
0000ETfl2XvUfM,周慧敏
00472DR10Ytv83,袁娅维TIA RAY
002fvJdl2yNaXT,Tank
00345j1k0ZFXru,HITA
0034MZS446AF7O,Billie Eilish
004COQ9L4X13uj,吴青峰
003j4QdP0tDL0D,徐誉滕
002btzGY28mJnT,麦小兜
004OFF5J1uCT1c,金玟岐
001adLDR1SS40P,汪峰
002nWBET2t5iFx,吴雨霏
003XXZcL1OS12F,鞠婧祎
004ZmRDC1dVL8T,ITZY (있지)
000dIIFL1yv5e4,动力火车
001F1svH2tTpsC,Bruno Mars (布鲁诺·马尔斯)
003vyG9q2klWs4,范玮琪
000kfe022gdaAn,邓丽君
004dXznj3zlHKW,孙露
000n2g6N3AcFT5,Rachel Platten (瑞秋·普蕾顿)
001e4pOU25pgzC,郑源
004HlS192u9J5g,周笔畅
001FHOkh2t1ROR,T-ara (티아라)
003NTUrM17PJhv,徐秉龙
004LhKMW2CWJox,Troye Sivan (特洛耶·希文)
004LV0lb4fOw89,GAI周延
0012bj8d36Xkw1,牛奶咖啡
001t94rh4OpQn0,双笙 (陈元汐)
001Ah7ZB0siso7,降央卓玛
0020uUft0MjWjW,刘珂矣
004bkgRA2eGJyK,K-391
001jgAtj3LtJnE,Avicii (艾维奇)
004XZS1K3zSnvB,孙艺琪
000ohzzi3esYiQ,许飞
000ynT3J1Hrdp1,陈慧琳
003yausN2yHNB5,何鹏
000CQ06r24Naco,Wiz Khalifa (维兹·卡利法)
0038poo73TW3Pa,Richard Clayderman (理查德·克莱德曼)
00128nnX2r4UFX,叶倩文
002tkdEU4gLVqO,萧亚轩
003RfioZ1j7KJR,梁咏琪
